miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,1.0901
hit,1.09037
hit,1.09129
miss,1.18716
miss,1.21316
hit,1.21402
miss,1.27046
hit,1.27071
hit,1.27132
hit,1.27159
miss,1.34742
miss,1.36272
hit,1.36311
hit,1.36334
hit,1.36386
miss,1.46243
hit,1.46264
hit,1.4629
hit,1.46339
miss,1.4709
hit,1.4712
hit,1.47178
miss,1.75762
hit,1.75847
hit,1.75876
miss,1.8274
hit,1.82774
miss,2.13506
hit,2.13537
miss,2.23677
miss,2.28498
hit,2.28528
hit,2.28579
miss,2.53716
miss,2.60507
miss,2.8102
hit,2.81042
hit,2.81091
hit,2.81142
hit,2.81199
hit,2.81764
hit,2.81787
hit,3.63127
hit,3.63152
hit,3.66564
hit,3.66663
miss,3.67118
hit,3.67177
hit,3.672
hit,3.67228
miss,3.83135
hit,3.83251
hit,3.85816
hit,3.85865
hit,3.91453
hit,3.91549
miss,3.93016
hit,3.93051
hit,3.93218
hit,3.96519
hit,3.96827
hit,3.99433
hit,4.04805
hit,4.04911
hit,4.18139
hit,4.18165
hit,4.20416
hit,4.34358
hit,4.40016
hit,4.40169
hit,4.40234
hit,4.4384
hit,5.12316
hit,5.47881
hit,5.47943
hit,5.48285
hit,6.60116
hit,6.72916
hit,6.83516
hit,6.83576
hit,6.83718
hit,6.89216
hit,7.08116
hit,7.08462
miss,8.0403
hit,8.04124
hit,8.28216
hit,10.3064
hit,11.4012
hit,12.8192
hit,13.9072
hit,16.4312
hit,21.8092
hit,21.8094
hit,21.8099
miss,30.0892
hit,30.0896
hit,30.0901
hit,30.0903
hit,30.0906
miss,30.124
hit,30.1245
hit,30.1252
hit,30.1259
hit,30.1265
miss,30.1555
hit,30.156
hit,30.1565
hit,30.1567
hit,30.1572
hit,30.1574
hit,30.1576
miss,30.1582
hit,30.1597
hit,30.1604
hit,30.1606
miss,30.1882
hit,30.1894
hit,30.1903
miss,30.353
hit,30.3533
hit,30.3535
hit,30.3538
hit,30.3543
hit,30.3545
hit,30.3547
hit,30.3555
miss,30.5654
hit,30.5669
hit,30.5671
miss,30.6079
miss,30.8078
hit,30.8306
miss,30.8727
hit,30.8729
hit,30.8741
miss,30.9005
hit,30.9017
hit,30.9024
hit,30.9027
miss,31.1342
hit,31.1359
hit,31.1361
miss,32.2326
hit,32.2329
hit,32.2331
miss,32.6772
hit,32.6774
hit,32.6789
hit,32.6811
hit,33.178
hit,33.9632
miss,34.9442
hit,34.9444
hit,34.9449
hit,36.1632
hit,37.1892
hit,37.6972
miss,38.3632
hit,38.3657
hit,38.9682
hit,39.9862
hit,41.0582
hit,41.5932
hit,42.2932
hit,43.0012
miss,43.7462
hit,43.7464
hit,43.7482
hit,54.4562
hit,55.7382
hit,55.7391
hit,56.8202
miss,60
miss,60.0232
hit,60.0243
miss,60.1862
hit,60.188
hit,60.1883
hit,60.1886
miss,60.2512
hit,60.2518
hit,60.2524
hit,60.2539
hit,60.2542
miss,60.4932
hit,60.4944
miss,60.8234
hit,60.8236
hit,60.825
miss,61.0892
hit,61.0894
hit,61.0896
hit,61.0901
hit,61.0903
hit,61.0917
hit,61.3574
hit,61.3589
hit,61.3607
miss,61.4162
hit,61.4164
miss,61.6232
miss,61.9784
hit,61.979
hit,61.9801
miss,62.0094
hit,62.0096
hit,62.0101
hit,62.0103
miss,62.0969
hit,62.0973
hit,62.0978
hit,62.098
hit,62.0986
miss,62.1502
hit,62.1512
hit,62.1514
miss,63.0287
hit,63.0299
hit,63.0307
miss,64.5422
hit,64.5428
miss,90.3017
miss,90.3823
hit,90.3825
miss,90.4002
hit,90.4006
hit,90.401
hit,90.4012
miss,90.6722
hit,90.6729
miss,90.7687
hit,90.7689
miss,90.8375
hit,90.8378
hit,90.838
hit,90.8383
hit,90.8385
hit,90.8388
miss,91.7564
hit,91.7567
hit,91.7569
miss,92.0722
hit,92.0726
miss,93.5112
hit,93.5117
hit,93.5123
miss,120
miss,120.154
miss,120.559
miss,121.452
miss,121.661
miss,122.895
miss,150.484
miss,150.966
miss,151.75
miss,152.436
miss,153.643
miss,157.696
hit,158.696
miss,180
miss,180.314
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,0
miss,1.08916
miss,1.18744
hit,1.18816
miss,1.27145
hit,1.27167
hit,1.27204
hit,1.27263
miss,1.34039
miss,1.34716
hit,1.34743
hit,1.34774
hit,1.34831
hit,1.34856
miss,1.36209
miss,1.41014
hit,1.41095
miss,1.46016
hit,1.46047
